region_code,full_name,name_depth,code_depth,children_count,has_children
530081,서울>종로구>명륜3가,3,3,0,0
530082,서울>종로구>창신동,3,3,0,0
530083,서울>종로구>숭인동,3,3,0,0
530084,서울>종로구>교남동,3,3,0,0
530085,서울>종로구>평동,3,3,0,0
530086,서울>종로구>송월동,3,3,0,0
530087,서울>종로구>홍파동,3,3,0,0
530088,서울>종로구>교북동,3,3,0,0
530089,서울>종로구>행촌동,3,3,0,0
530090,서울>종로구>구기동,3,3,0,0
530091,서울>종로구>평창동,3,3,0,0
530092,서울>종로구>부암동,3,3,0,0
530093,서울>종로구>홍지동,3,3,0,0
530094,서울>종로구>신영동,3,3,0,0
530095,서울>종로구>무악동,3,3,0,0
530097,서울>중구>무교동,3,3,0,0
530098,서울>중구>다동,3,3,0,0
530099,서울>중구>태평로1가,3,3,0,0
530100,서울>중구>을지로1가,3,3,0,0
530101,서울>중구>을지로2가,3,3,0,0
530102,서울>중구>남대문로1가,3,3,0,0
530103,서울>중구>삼각동,3,3,0,0
530104,서울>중구>수하동,3,3,0,0
530105,서울>중구>장교동,3,3,0,0
530106,서울>중구>수표동,3,3,0,0
530107,서울>중구>소공동,3,3,0,0
530108,서울>중구>남창동,3,3,0,0
530109,서울>중구>북창동,3,3,0,0
530110,서울>중구>태평로2가,3,3,0,0
530111,서울>중구>남대문로2가,3,3,0,0
530112,서울>중구>남대문로3가,3,3,0,0
530113,서울>중구>남대문로4가,3,3,0,0
530114,서울>중구>남대문로5가,3,3,0,0
530115,서울>중구>봉래동1가,3,3,0,0
530116,서울>중구>봉래동2가,3,3,0,0
530117,서울>중구>회현동1가,3,3,0,0
530118,서울>중구>회현동2가,3,3,0,0
530119,서울>중구>회현동3가,3,3,0,0
530120,서울>중구>충무로1가,3,3,0,0
530121,서울>중구>충무로2가,3,3,0,0
530122,서울>중구>명동1가,3,3,0,0
530123,서울>중구>명동2가,3,3,0,0
530124,서울>중구>남산동1가,3,3,0,0
530125,서울>중구>남산동2가,3,3,0,0
530126,서울>중구>남산동3가,3,3,0,0
530127,서울>중구>저동1가,3,3,0,0
530128,서울>중구>충무로4가,3,3,0,0
530129,서울>중구>충무로5가,3,3,0,0
530130,서울>중구>인현동2가,3,3,0,0
530131,서울>중구>예관동,3,3,0,0
530132,서울>중구>묵정동,3,3,0,0
530133,서울>중구>필동1가,3,3,0,0
530134,서울>중구>필동2가,3,3,0,0
