region_code,name,lawd_code
530344,신공덕동,11440103
530345,도화동,11440104
530346,용강동,11440105
530347,토정동,11440106
530348,마포동,11440107
530349,대흥동,11440108
530350,염리동,11440109
530351,노고산동,11440110
530352,신수동,11440111
530353,현석동,11440112
530354,구수동,11440113
530355,창전동,11440114
530356,상수동,11440115
530357,하중동,11440116
530358,신정동,11440117
530359,당인동,11440118
530360,서교동,11440120
530361,동교동,11440121
530362,합정동,11440122
530363,망원동,11440123
530364,연남동,11440124
530365,성산동,11440125
530366,중동,11440126
530367,상암동,11440127
530369,신정동,11470101
530370,목동,11470102
530371,신월동,11470103
530373,염창동,11500101
530374,등촌동,11500102
530375,화곡동,11500103
530376,가양동,11500104
530377,마곡동,11500105
530378,내발산동,11500106
530379,외발산동,11500107
530380,공항동,11500108
530381,방화동,11500109
530382,개화동,11500110
530383,과해동,11500111
530384,오곡동,11500112
530385,오쇠동,11500113
530387,신도림동,11530101
530388,구로동,11530102
530389,가리봉동,11530103
530390,고척동,11530106
530391,개봉동,11530107
530392,오류동,11530108
530393,궁동,11530109
530394,온수동,11530110
530395,천왕동,11530111
530396,항동,11530112
530398,가산동,11545101
530399,독산동,11545102
530400,시흥동,11545103
530402,영등포동,11560101
530403,영등포동1가,11560102
530404,영등포동2가,11560103
530405,영등포동3가,11560104
530406,영등포동4가,11560105
530407,영등포동5가,11560106
530408,영등포동6가,11560107
530409,영등포동7가,11560108
530410,영등포동8가,11560109
530411,여의도동,11560110
530412,당산동1가,11560111
530413,당산동2가,11560112
530414,당산동3가,11560113
530415,당산동4가,11560114
530416,당산동5가,11560115
530417,당산동6가,11560116
530418,당산동,11560117
530419,도림동,11560118
530420,문래동1가,11560119
530421,문래동2가,11560120
530422,문래동3가,11560121
530423,문래동4가,11560122
530424,문래동5가,11560123
530425,문래동6가,11560124
530426,양평동1가,11560125
530427,양평동2가,11560126
530428,양평동3가,11560127
530429,양평동4가,11560128
530430,양평동5가,11560129
530431,양평동6가,11560130
530432,양화동,11560131
530433,신길동,11560132
530434,대림동,11560133
530435,양평동,11560134
530437,노량진동,11590101
530438,상도동,11590102
530439,상도1동,11590103
530440,본동,11590104
530441,흑석동,11590105
530442,동작동,11590106
530443,사당동,11590107
530444,대방동,11590108
530445,신대방동,11590109
530447,봉천동,11620101
530448,신림동,11620102
530449,남현동,11620103
530451,방배동,11650101
530452,양재동,11650102
530453,우면동,11650103
530454,원지동,11650104
530455,잠원동,11650106
530456,반포동,11650107
530457,서초동,11650108
530458,내곡동,11650109
530459,염곡동,11650110
530460,신원동,11650111
530462,역삼동,11680101
530463,개포동,11680103
530464,청담동,11680104
530465,삼성동,11680105
530466,대치동,11680106
530467,신사동,11680107
530468,논현동,11680108
530469,압구정동,11680110
530470,세곡동,11680111
530471,자곡동,11680112
530472,율현동,11680113
530473,일원동,11680114
530474,수서동,11680115
530475,도곡동,11680118
530477,잠실동,11710101
530478,신천동,11710102
530479,풍납동,11710103
530480,송파동,11710104
530481,석촌동,11710105
530482,삼전동,11710106
530483,가락동,11710107
530484,문정동,11710108
530485,장지동,11710109
530486,방이동,11710111
530487,오금동,11710112
530488,거여동,11710113
530489,마천동,11710114
530491,명일동,11740101
530492,고덕동,11740102
530493,상일동,11740103
530494,길동,11740105
530495,둔촌동,11740106
530496,암사동,11740107
530497,성내동,11740108
530498,천호동,11740109
530499,강일동,11740110
530500,부산,26000000
530502,영주동,26110101
530503,대창동1가,26110102
530504,대창동2가,26110103
530505,중앙동1가,26110104
530506,중앙동2가,26110105
530507,중앙동3가,26110106
530508,중앙동4가,26110107
530509,중앙동5가,26110108
530510,중앙동6가,26110109
530511,중앙동7가,26110110
530512,동광동1가,26110111
530513,동광동2가,26110112
530514,동광동3가,26110113
530515,동광동4가,26110114
530516,동광동5가,26110115
530517,대청동1가,26110116
530518,대청동2가,26110117
530519,대청동3가,26110118
530520,대청동4가,26110119
530521,보수동1가,26110120
530522,보수동2가,26110121
530523,보수동3가,26110122
530524,부평동1가,26110123
530525,부평동2가,26110124
530526,부평동3가,26110125
530527,부평동4가,26110126
530528,신창동1가,26110127
530529,신창동2가,26110128
530530,신창동3가,26110129
530531,신창동4가,26110130
530532,창선동1가,26110131
530533,창선동2가,26110132
530534,광복동1가,26110133
530535,광복동2가,26110134
530536,광복동3가,26110135
530537,남포동1가,26110136
530538,남포동2가,26110137
530539,남포동3가,26110138
530540,남포동4가,26110139
530541,남포동5가,26110140
530542,남포동6가,26110141
530544,동대신동1가,26140101
530545,동대신동2가,26140102
530546,동대신동3가,26140103
530547,서대신동1가,26140104
530548,서대신동2가,26140105
530549,서대신동3가,26140106
530550,부용동1가,26140107
530551,부용동2가,26140108
530552,부민동1가,26140109
530553,부민동2가,26140110
530554,부민동3가,26140111
530555,토성동1가,26140112
530556,토성동2가,26140113
530557,토성동3가,26140114
530558,아미동1가,26140115
530559,아미동2가,26140116
530560,토성동4가,26140117
530561,토성동5가,26140118
530562,초장동,26140119
530563,충무동1가,26140120
530564,충무동2가,26140121
530565,충무동3가,26140122
530566,남부민동,26140123
530567,암남동,26140124
530569,초량동,26170101
530570,수정동,26170102
530571,좌천동,26170103
530572,범일동,26170104
530574,대교동1가,26200101
530575,대교동2가,26200102
530576,대평동1가,26200103
530577,대평동2가,26200104
530578,남항동1가,26200105
530579,남항동2가,26200106
530580,남항동3가,26200107
530581,영선동1가,26200108
530582,영선동2가,26200109
530583,영선동3가,26200110
530584,영선동4가,26200111
530585,신선동1가,26200112
530586,신선동2가,26200113
530587,신선동3가,26200114
530588,봉래동1가,26200115
530589,봉래동2가,26200116
530590,봉래동3가,26200117
530591,봉래동4가,26200118
530592,봉래동5가,26200119
530593,청학동,26200120
530594,동삼동,26200121
530596,양정동,26230101
530597,전포동,26230102
530598,부전동,26230103
530599,범천동,26230104
530600,범전동,26230105
530601,연지동,26230106
530602,초읍동,26230107
530603,부암동,26230108
530604,당감동,26230109
530605,가야동,26230110
530606,개금동,26230111
530608,명장동,26260101
530609,안락동,26260102
530610,칠산동,26260103
530611,낙민동,26260104
530612,복천동,26260105
530613,수안동,26260106
530614,명륜동,26260107
530615,온천동,26260108
530616,사직동,26260109
530618,대연동,26290106
530619,용호동,26290107
530620,용당동,26290108
530621,문현동,26290109
530622,우암동,26290110
530623,감만동,26290111
530625,금곡동,26320101
530626,화명동,26320102
530627,만덕동,26320103
530628,덕천동,26320104
530629,구포동,26320105
530631,반송동,26350101
530632,석대동,26350102
530633,반여동,26350103
530634,재송동,26350104
530635,우동,26350105
530636,중동,26350106
530637,좌동,26350107
530638,송정동,26350108
530640,괴정동,26380101
530641,당리동,26380102
530642,하단동,26380103
530643,신평동,26380104
530644,장림동,26380105
530645,다대동,26380106
530646,구평동,26380107
530647,감천동,26380108
530649,두구동,26410101
530650,노포동,26410102
530651,청룡동,26410103
530652,남산동,26410104
530653,선동,26410105
530654,오륜동,26410106
530655,구서동,26410107
530656,장전동,26410108
530657,부곡동,26410109
530658,서동,26410110
530659,금사동,26410111
530660,회동동,26410112
530661,금성동,26410113
530663,대저1동,26440101
530664,대저2동,26440102
530665,강동동,26440103
530666,명지동,26440104
530667,죽림동,26440105
530668,식만동,26440106
530669,죽동동,26440107
530670,봉림동,26440108
530671,송정동,26440109
530672,화전동,26440110
530673,녹산동,26440111
530674,생곡동,26440112
530675,구랑동,26440113
530676,지사동,26440114
530677,미음동,26440115
530678,범방동,26440116
530679,신호동,26440117
530680,동선동,26440118
530681,성북동,26440119
530682,눌차동,26440120
530683,천성동,26440121
530684,대항동,26440122
530686,거제동,26470101
530687,연산동,26470102
530689,망미동,26500101
530690,수영동,26500102
530691,민락동,26500103
530692,광안동,26500104
530693,남천동,26500105
530695,삼락동,26530101
530696,모라동,26530102
530697,덕포동,26530103
530698,괘법동,26530104
530699,감전동,26530105
530700,주례동,26530106
530701,학장동,26530107
530702,엄궁동,26530108
530704,기장읍,26710250
530705,장안읍,26710253
530706,정관읍,26710256
530707,일광면,26710310
530708,일광읍,26710259
530709,정관면,26710320
530710,철마면,26710330
530713,동인동1가,27110101
530714,동인동2가,27110102
530715,동인동3가,27110103
530716,동인동4가,27110104
530717,삼덕동1가,27110105
530718,삼덕동2가,27110106
530719,삼덕동3가,27110107
530720,봉산동,27110108
530721,장관동,27110109
530722,상서동,27110110
530723,수동,27110111
530724,덕산동,27110112
530725,종로1가,27110113
530726,종로2가,27110114
530727,사일동,27110115
530728,동일동,27110116
530729,남일동,27110117
530730,전동,27110118
530731,동성로3가,27110119
530732,동문동,27110120
530733,문화동,27110121
530734,공평동,27110122
530735,동성로2가,27110123
530736,태평로1가,27110124
530737,교동,27110125
530738,용덕동,27110126
530739,상덕동,27110127
530740,완전동,27110128
530741,도원동,27110129
530742,수창동,27110130
530743,태평로3가,27110131
530744,인교동,27110132
530745,서야동,27110133
530746,서성로1가,27110134
530747,시장북로,27110135
530748,하서동,27110136
530749,남성로,27110137
530750,계산동1가,27110138
530751,계산동2가,27110139
530752,동산동,27110140
530753,서문로2가,27110141
530754,서성로2가,27110142
530755,포정동,27110143
530756,서문로1가,27110144
530757,서내동,27110145
530758,북성로2가,27110146
530759,대안동,27110147
530760,동성로1가,27110148
530761,태평로2가,27110149
530762,북성로1가,27110150
530763,화전동,27110151
530764,향촌동,27110152
530765,북내동,27110153
