region_code,name,extra_code,true_level,parent_code,child_count,min_child_level,max_child_level
530075,서울>종로구>충신동,11110167,2,510008,0,0,0
530076,서울>종로구>동숭동,11110168,2,510008,0,0,0
530077,서울>종로구>혜화동,11110169,2,510008,0,0,0
530078,서울>종로구>명륜1가,11110170,2,510008,0,0,0
530079,서울>종로구>명륜2가,11110171,2,510008,0,0,0
530080,서울>종로구>명륜4가,11110172,2,510008,0,0,0
530081,서울>종로구>명륜3가,11110173,2,510008,0,0,0
530082,서울>종로구>창신동,11110174,2,510008,0,0,0
530083,서울>종로구>숭인동,11110175,2,510008,0,0,0
530084,서울>종로구>교남동,11110176,2,510008,0,0,0
530085,서울>종로구>평동,11110177,2,510008,0,0,0
530086,서울>종로구>송월동,11110178,2,510008,0,0,0
530087,서울>종로구>홍파동,11110179,2,510008,0,0,0
530088,서울>종로구>교북동,11110180,2,510008,0,0,0
530089,서울>종로구>행촌동,11110181,2,510008,0,0,0
530090,서울>종로구>구기동,11110182,2,510008,0,0,0
530091,서울>종로구>평창동,11110183,2,510008,0,0,0
530092,서울>종로구>부암동,11110184,2,510008,0,0,0
530093,서울>종로구>홍지동,11110185,2,510008,0,0,0
530094,서울>종로구>신영동,11110186,2,510008,0,0,0
530095,서울>종로구>무악동,11110187,2,510008,0,0,0
530097,서울>중구>무교동,11140101,2,510009,0,0,0
530098,서울>중구>다동,11140102,2,510009,0,0,0
530099,서울>중구>태평로1가,11140103,2,510009,0,0,0
530100,서울>중구>을지로1가,11140104,2,510009,0,0,0
530101,서울>중구>을지로2가,11140105,2,510009,0,0,0
530102,서울>중구>남대문로1가,11140106,2,510009,0,0,0
530103,서울>중구>삼각동,11140107,2,510009,0,0,0
530104,서울>중구>수하동,11140108,2,510009,0,0,0
530105,서울>중구>장교동,11140109,2,510009,0,0,0
530106,서울>중구>수표동,11140110,2,510009,0,0,0
530107,서울>중구>소공동,11140111,2,510009,0,0,0
530108,서울>중구>남창동,11140112,2,510009,0,0,0
530109,서울>중구>북창동,11140113,2,510009,0,0,0
530110,서울>중구>태평로2가,11140114,2,510009,0,0,0
530111,서울>중구>남대문로2가,11140115,2,510009,0,0,0
530112,서울>중구>남대문로3가,11140116,2,510009,0,0,0
530113,서울>중구>남대문로4가,11140117,2,510009,0,0,0
530114,서울>중구>남대문로5가,11140118,2,510009,0,0,0
530115,서울>중구>봉래동1가,11140119,2,510009,0,0,0
530116,서울>중구>봉래동2가,11140120,2,510009,0,0,0
530117,서울>중구>회현동1가,11140121,2,510009,0,0,0
530118,서울>중구>회현동2가,11140122,2,510009,0,0,0
530119,서울>중구>회현동3가,11140123,2,510009,0,0,0
530120,서울>중구>충무로1가,11140124,2,510009,0,0,0
530121,서울>중구>충무로2가,11140125,2,510009,0,0,0
530122,서울>중구>명동1가,11140126,2,510009,0,0,0
530123,서울>중구>명동2가,11140127,2,510009,0,0,0
530124,서울>중구>남산동1가,11140128,2,510009,0,0,0
530125,서울>중구>남산동2가,11140129,2,510009,0,0,0
530126,서울>중구>남산동3가,11140130,2,510009,0,0,0
530127,서울>중구>저동1가,11140131,2,510009,0,0,0
530128,서울>중구>충무로4가,11140132,2,510009,0,0,0
530129,서울>중구>충무로5가,11140133,2,510009,0,0,0
530130,서울>중구>인현동2가,11140134,2,510009,0,0,0
530131,서울>중구>예관동,11140135,2,510009,0,0,0
530132,서울>중구>묵정동,11140136,2,510009,0,0,0
530133,서울>중구>필동1가,11140137,2,510009,0,0,0
530134,서울>중구>필동2가,11140138,2,510009,0,0,0
530135,서울>중구>필동3가,11140139,2,510009,0,0,0
530136,서울>중구>남학동,11140140,2,510009,0,0,0
530137,서울>중구>주자동,11140141,2,510009,0,0,0
530138,서울>중구>예장동,11140142,2,510009,0,0,0
530139,서울>중구>장충동1가,11140143,2,510009,0,0,0
530140,서울>중구>장충동2가,11140144,2,510009,0,0,0
530141,서울>중구>광희동1가,11140145,2,510009,0,0,0
530142,서울>중구>광희동2가,11140146,2,510009,0,0,0
530143,서울>중구>쌍림동,11140147,2,510009,0,0,0
530144,서울>중구>을지로6가,11140148,2,510009,0,0,0
530145,서울>중구>을지로7가,11140149,2,510009,0,0,0
530146,서울>중구>을지로4가,11140150,2,510009,0,0,0
530147,서울>중구>을지로5가,11140151,2,510009,0,0,0
530148,서울>중구>주교동,11140152,2,510009,0,0,0
530149,서울>중구>방산동,11140153,2,510009,0,0,0
530150,서울>중구>오장동,11140154,2,510009,0,0,0
530151,서울>중구>을지로3가,11140155,2,510009,0,0,0
530152,서울>중구>입정동,11140156,2,510009,0,0,0
530153,서울>중구>산림동,11140157,2,510009,0,0,0
530154,서울>중구>충무로3가,11140158,2,510009,0,0,0
530155,서울>중구>초동,11140159,2,510009,0,0,0
530156,서울>중구>인현동1가,11140160,2,510009,0,0,0
530157,서울>중구>저동2가,11140161,2,510009,0,0,0
530158,서울>중구>신당동,11140162,2,510009,0,0,0
530159,서울>중구>흥인동,11140163,2,510009,0,0,0
530160,서울>중구>무학동,11140164,2,510009,0,0,0
530161,서울>중구>황학동,11140165,2,510009,0,0,0
530162,서울>중구>서소문동,11140166,2,510009,0,0,0
530163,서울>중구>정동,11140167,2,510009,0,0,0
530164,서울>중구>순화동,11140168,2,510009,0,0,0
530165,서울>중구>의주로1가,11140169,2,510009,0,0,0
530166,서울>중구>충정로1가,11140170,2,510009,0,0,0
530167,서울>중구>중림동,11140171,2,510009,0,0,0
530168,서울>중구>의주로2가,11140172,2,510009,0,0,0
530169,서울>중구>만리동1가,11140173,2,510009,0,0,0
530170,서울>중구>만리동2가,11140174,2,510009,0,0,0
530172,서울>용산구>후암동,11170101,2,510010,0,0,0
530173,서울>용산구>용산동2가,11170102,2,510010,0,0,0
530174,서울>용산구>용산동4가,11170103,2,510010,0,0,0
530175,서울>용산구>갈월동,11170104,2,510010,0,0,0
530176,서울>용산구>남영동,11170105,2,510010,0,0,0
530177,서울>용산구>용산동1가,11170106,2,510010,0,0,0
530178,서울>용산구>동자동,11170107,2,510010,0,0,0
530179,서울>용산구>서계동,11170108,2,510010,0,0,0
530180,서울>용산구>청파동1가,11170109,2,510010,0,0,0
530181,서울>용산구>청파동2가,11170110,2,510010,0,0,0
530182,서울>용산구>청파동3가,11170111,2,510010,0,0,0
530183,서울>용산구>원효로1가,11170112,2,510010,0,0,0
530184,서울>용산구>원효로2가,11170113,2,510010,0,0,0
530185,서울>용산구>신창동,11170114,2,510010,0,0,0
530186,서울>용산구>산천동,11170115,2,510010,0,0,0
530187,서울>용산구>청암동,11170116,2,510010,0,0,0
530188,서울>용산구>원효로3가,11170117,2,510010,0,0,0
530189,서울>용산구>원효로4가,11170118,2,510010,0,0,0
530190,서울>용산구>효창동,11170119,2,510010,0,0,0
530191,서울>용산구>도원동,11170120,2,510010,0,0,0
